incident_id,title,category,location,department,severity,status,first_reported_at,last_reported_at,complaint_count,affected_users,pattern_detected,possible_root_cause,root_cause_confidence,assigned_team,resolution_status
INC-019,Parking Area: Electrical service interruption,Electricity,Parking Area,Electrical Maintenance,High,Monitoring,2026-01-04 10:49,2026-08-29 12:59,6,6,Repeated reports from the same location,Possible capacity or demand-related issue,0.83,Electrical Maintenance,Completed
INC-020,Block B - Hostel: Network connectivity issue,Internet & Network,Block B - Hostel,Facilities & Maintenance,High,Resolved,2026-02-12 15:29,2026-07-02 14:25,4,4,Multiple users reporting similar symptoms,Possible capacity or demand-related issue,0.8,Facilities & Maintenance,Completed
INC-021,Block B - Hostel: Network connectivity issue,Internet & Network,Block B - Hostel,IT Services,High,Investigating,2026-01-21 18:42,2026-08-25 10:45,7,7,Recurring issue after previous resolution,Possible capacity or demand-related issue,0.77,IT Services,Pending
INC-022,Transport Bay: Electrical service interruption,Electricity,Transport Bay,Electrical Maintenance,High,Monitoring,2026-02-28 09:07,2026-08-24 15:22,6,6,Multiple users reporting similar symptoms,Possible recurring component failure,0.8,Electrical Maintenance,Completed
INC-023,CSE Block: Recurring water supply issue,Water & Sanitation,CSE Block,Facilities & Maintenance,High,Action Required,2026-01-01 20:01,2026-06-20 08:48,7,7,Increasing reports during a specific time period,Possible capacity or demand-related issue,0.74,Facilities & Maintenance,Pending
INC-024,CSE Block: Electrical service interruption,Electricity,CSE Block,Electrical Maintenance,High,Investigating,2026-01-02 13:00,2026-07-06 14:23,9,8,Repeated reports from the same location,Possible equipment or infrastructure degradation,0.75,Electrical Maintenance,Pending
INC-025,Block A - Hostel: Network connectivity issue,Internet & Network,Block A - Hostel,Facilities & Maintenance,High,Investigating,2026-03-26 09:11,2026-08-22 11:01,5,5,Recurring issue after previous resolution,Possible equipment or infrastructure degradation,0.84,Facilities & Maintenance,Pending
INC-026,Computer Lab 1: Recurring water supply issue,Water & Sanitation,Computer Lab 1,Facilities & Maintenance,High,Monitoring,2026-01-21 20:32,2026-07-30 12:53,8,8,Recurring issue after previous resolution,Possible maintenance or service configuration issue,0.89,Facilities & Maintenance,Completed
INC-027,ECE Block: Network connectivity issue,Internet & Network,ECE Block,IT Services,High,Resolved,2026-01-24 13:08,2026-07-21 14:24,7,6,Repeated reports from the same location,Possible equipment or infrastructure degradation,0.83,IT Services,Completed
INC-028,Block C - Hostel: Network connectivity issue,Internet & Network,Block C - Hostel,IT Services,High,Detected,2026-03-25 14:37,2026-08-20 08:57,4,4,Multiple users reporting similar symptoms,Possible maintenance or service configuration issue,0.81,IT Services,Pending
INC-029,Computer Lab 1: Recurring water supply issue,Water & Sanitation,Computer Lab 1,Facilities & Maintenance,High,Monitoring,2026-01-08 15:57,2026-08-27 19:36,7,6,Recurring issue after previous resolution,Possible equipment or infrastructure degradation,0.9,Facilities & Maintenance,Completed
INC-030,Block C - Hostel: Electrical service interruption,Electricity,Block C - Hostel,Electrical Maintenance,High,Action Required,2026-04-02 12:15,2026-05-05 15:13,2,2,Multiple users reporting similar symptoms,Possible capacity or demand-related issue,0.74,Electrical Maintenance,Pending
INC-031,Central Library: Recurring water supply issue,Water & Sanitation,Central Library,Facilities & Maintenance,Medium,Investigating,2026-01-01 21:59,2026-08-21 13:19,3,3,Multiple users reporting similar symptoms,Possible capacity or demand-related issue,0.87,Facilities & Maintenance,Pending
INC-032,CSE Block: Electrical service interruption,Electricity,CSE Block,Electrical Maintenance,High,Action Required,2026-03-26 11:12,2026-07-28 12:11,6,6,Repeated reports from the same location,Possible maintenance or service configuration issue,0.74,Electrical Maintenance,Pending
INC-033,Canteen: Electrical service interruption,Electricity,Canteen,Electrical Maintenance,High,Investigating,2026-02-12 17:03,2026-08-11 13:39,10,10,Multiple users reporting similar symptoms,Possible maintenance or service configuration issue,0.77,Electrical Maintenance,Pending
INC-034,Computer Lab 1: Network connectivity issue,Internet & Network,Computer Lab 1,IT Services,Medium,Resolved,2026-02-07 18:31,2026-08-24 15:07,9,9,Repeated reports from the same location,Possible equipment or infrastructure degradation,0.88,IT Services,Completed
INC-035,CSE Block: Network connectivity issue,Internet & Network,CSE Block,Facilities & Maintenance,High,Resolved,2026-03-26 15:09,2026-08-30 18:42,5,5,Increasing reports during a specific time period,Possible capacity or demand-related issue,0.91,Facilities & Maintenance,Completed
