complaint_id,user_id,complaint_text,created_at,category,subcategory,location,department,severity,impact,status,incident_id,source,has_evidence,user_verified
CMP-00128,USR-043,Waste bins near Block B - Hostel are overflowing.,2026-01-21 13:42,Cleaning,Common Area,Block B - Hostel,Housekeeping,Medium,Large Group,Resolved,,Web,False,False
CMP-00356,USR-230,The Wi-Fi connection in Transport Bay becomes very slow during evening.,2026-01-21 18:42,Internet & Network,LAN,Transport Bay,IT Services,Medium,Individual,Closed,INC-021,Mobile,False,False
CMP-00168,USR-101,The computer systems in Central Library are extremely slow.,2026-01-21 18:42,Classroom Equipment,Speaker,Central Library,Academic Infrastructure,Medium,Individual,Investigating,,Mobile,False,False
CMP-00891,USR-071,The projector in Parking Area is not displaying properly.,2026-01-21 19:50,Classroom Equipment,Microphone,Parking Area,Academic Infrastructure,Medium,Multiple Users,Investigating,,Web,True,False
CMP-00574,USR-216,The furniture in Central Library is broken and needs repair.,2026-01-21 20:30,Hostel,Laundry,Central Library,Hostel Administration,Medium,Small Group,Closed,,Mobile,True,False
CMP-00576,USR-022,The lights in Seminar Hall are flickering repeatedly.,2026-01-21 20:32,Electricity,Power Outage,Seminar Hall,Electrical Maintenance,Medium,Large Group,Investigating,INC-026,Web,False,False
CMP-00708,USR-099,The Wi-Fi connection in Block B - Hostel becomes very slow during morning.,2026-01-22 09:31,Internet & Network,Internet Speed,Block B - Hostel,IT Services,Medium,Large Group,Investigating,,Web,True,False
CMP-00592,USR-108,The queue at Block C - Hostel is unusually long during lunch.,2026-01-22 12:23,Canteen,Hygiene,Block C - Hostel,Food Services,Low,Small Group,Investigating,,Mobile,False,False
CMP-00649,USR-219,Waste bins near Parking Area are overflowing.,2026-01-22 13:54,Cleaning,Common Area,Parking Area,Housekeeping,Medium,Large Group,Investigating,,Mobile,True,False
CMP-00192,USR-078,The computer systems in Parking Area are extremely slow.,2026-01-22 19:57,Classroom Equipment,Microphone,Parking Area,Academic Infrastructure,Medium,Large Group,Investigating,,Web,True,False
CMP-00382,USR-016,The projector in Parking Area is not displaying properly.,2026-01-23 11:10,Classroom Equipment,Projector,Parking Area,Academic Infrastructure,Medium,Multiple Users,Reopened,,Web,False,True
CMP-00483,USR-050,The campus bus has not arrived at Seminar Hall on time.,2026-01-23 18:52,Transport,Bus Availability,Seminar Hall,Transport Services,Medium,Large Group,Open,,Web,True,False
CMP-00792,USR-147,The fan is not working in Block B - Hostel.,2026-01-24 08:27,Electricity,Power Outage,Block B - Hostel,Electrical Maintenance,Medium,Individual,Resolved,,Web,True,True
CMP-00768,USR-180,There has been no water supply in ECE Block since for three days.,2026-01-24 12:00,Water & Sanitation,Water Pressure,ECE Block,Facilities & Maintenance,High,Multiple Users,Assigned,INC-023,Web,False,False
CMP-00757,USR-204,The lights in Block C - Hostel are flickering repeatedly.,2026-01-24 13:08,Electricity,Socket,Block C - Hostel,Electrical Maintenance,Medium,Multiple Users,Assigned,INC-027,Web,False,False
CMP-00944,USR-173,The washroom in Central Library has not been cleaned properly.,2026-01-24 13:24,Cleaning,Common Area,Central Library,Housekeeping,Medium,Small Group,Assigned,,Web,True,False
CMP-00978,USR-063,Food served at CSE Block was cold today.,2026-01-24 19:12,Canteen,Queue,CSE Block,Food Services,Medium,Multiple Users,Open,,Mobile,True,False
CMP-00540,USR-110,The CCTV camera near Campus Entrance appears to be offline.,2026-01-24 19:54,Safety,Lighting,Campus Entrance,Security Services,High,Multiple Users,Resolved,,Mobile,False,True
CMP-00142,USR-049,There is a power outage affecting Block C - Hostel.,2026-01-25 08:18,Electricity,Lighting,Block C - Hostel,Electrical Maintenance,High,Multiple Users,Closed,,Mobile,True,False
CMP-00390,USR-161,The fan is not working in Computer Lab 2.,2026-01-25 09:46,Electricity,Socket,Computer Lab 2,Electrical Maintenance,Medium,Small Group,Investigating,,Mobile,True,False
CMP-00223,USR-071,Water is leaking near Transport Bay and the floor remains wet.,2026-01-26 10:48,Water & Sanitation,Water Pressure,Transport Bay,Facilities & Maintenance,Medium,Multiple Users,Reopened,INC-009,Web,False,False
CMP-00464,USR-134,The lights in Parking Area are flickering repeatedly.,2026-01-26 12:41,Electricity,Fan,Parking Area,Electrical Maintenance,Medium,Small Group,Closed,,Web,False,False
CMP-00832,USR-206,The computer systems in Transport Bay are extremely slow.,2026-01-26 12:58,Classroom Equipment,Microphone,Transport Bay,Academic Infrastructure,Medium,Small Group,Resolved,,Mobile,False,True
CMP-00005,USR-156,There is a power outage affecting Sports Ground.,2026-01-26 14:17,Electricity,Power Outage,Sports Ground,Electrical Maintenance,High,Large Group,Assigned,,Mobile,False,False
CMP-00984,USR-202,The queue at Computer Lab 1 is unusually long during lunch.,2026-01-27 18:19,Canteen,Payment,Computer Lab 1,Food Services,Low,Multiple Users,Investigating,,Mobile,False,False
CMP-00935,USR-166,Waste bins near Campus Entrance are overflowing.,2026-01-27 18:22,Cleaning,Waste Disposal,Campus Entrance,Housekeeping,Medium,Large Group,Resolved,,Web,False,False
CMP-00582,USR-010,Waste bins near Block A - Hostel are overflowing.,2026-01-27 18:54,Cleaning,Waste Disposal,Block A - Hostel,Housekeeping,Medium,Large Group,Closed,,Web,True,False
CMP-00109,USR-134,There has been no water supply in Computer Lab 1 since since yesterday.,2026-01-27 20:57,Water & Sanitation,Washroom,Computer Lab 1,Facilities & Maintenance,High,Multiple Users,Investigating,INC-029,Mobile,False,False
CMP-00727,USR-126,The washroom in ECE Block has not been cleaned properly.,2026-01-28 08:22,Cleaning,Common Area,ECE Block,Housekeeping,Medium,Multiple Users,Open,,Mobile,True,False
CMP-00309,USR-175,"Water pressure has been very low in Computer Lab 2, especially during morning.",2026-01-28 08:24,Water & Sanitation,Leakage,Computer Lab 2,Facilities & Maintenance,High,Multiple Users,Investigating,,Web,False,False
CMP-00277,USR-168,The washroom in Canteen has not been cleaned properly.,2026-01-28 15:04,Cleaning,Waste Disposal,Canteen,Housekeeping,Medium,Multiple Users,Closed,,Web,False,True
CMP-00470,USR-199,The CCTV camera near Canteen appears to be offline.,2026-01-28 15:45,Safety,CCTV,Canteen,Security Services,High,Multiple Users,Open,,Web,True,False
CMP-00801,USR-116,Waste bins near Seminar Hall are overflowing.,2026-01-28 17:24,Cleaning,Room Cleaning,Seminar Hall,Housekeeping,Medium,Multiple Users,Assigned,,Mobile,True,False
CMP-00100,USR-015,The projector in Central Library is not displaying properly.,2026-01-29 12:43,Classroom Equipment,Speaker,Central Library,Academic Infrastructure,Medium,Individual,Investigating,,Web,False,False
CMP-00547,USR-214,The network keeps disconnecting in Main Building.,2026-01-29 17:47,Internet & Network,Network Availability,Main Building,IT Services,High,Multiple Users,Investigating,INC-021,Mobile,True,False
CMP-00890,USR-222,The washroom in Transport Bay has not been cleaned properly.,2026-01-29 19:45,Cleaning,Room Cleaning,Transport Bay,Housekeeping,Medium,Large Group,Resolved,,Mobile,False,True
CMP-00848,USR-028,The CCTV camera near CSE Block appears to be offline.,2026-01-30 08:54,Safety,CCTV,CSE Block,Security Services,High,Multiple Users,Closed,,Web,True,True
CMP-00294,USR-245,The door lock in Campus Entrance is damaged.,2026-01-30 09:54,Hostel,Food,Campus Entrance,Hostel Administration,High,Multiple Users,Assigned,,Mobile,False,False
CMP-00697,USR-219,There is a power outage affecting CSE Block.,2026-01-30 12:05,Electricity,Fan,CSE Block,Electrical Maintenance,High,Multiple Users,Closed,INC-024,Web,True,True
CMP-00897,USR-154,Waste bins near Canteen are overflowing.,2026-01-30 13:44,Cleaning,Common Area,Canteen,Housekeeping,Medium,Large Group,Closed,,Web,False,True
CMP-00103,USR-063,The door lock in CSE Block is damaged.,2026-01-30 14:01,Hostel,Room Maintenance,CSE Block,Hostel Administration,High,Large Group,Open,,Web,True,False
CMP-00526,USR-075,Waste bins near Computer Lab 1 are overflowing.,2026-01-30 14:18,Cleaning,Common Area,Computer Lab 1,Housekeeping,Medium,Large Group,Investigating,,Web,False,False
CMP-00811,USR-136,The pathway near Computer Lab 1 is damaged and difficult to use.,2026-01-31 10:20,Infrastructure,Lift,Computer Lab 1,Facilities & Maintenance,Medium,Large Group,Resolved,,Mobile,True,False
CMP-00480,USR-063,Waste bins near Block B - Hostel are overflowing.,2026-01-31 12:09,Cleaning,Common Area,Block B - Hostel,Housekeeping,Medium,Multiple Users,Resolved,,Mobile,True,True
CMP-00913,USR-206,"Water pressure has been very low in CSE Block, especially during afternoon.",2026-01-31 14:18,Water & Sanitation,Water Pressure,CSE Block,Facilities & Maintenance,High,Multiple Users,Investigating,,Mobile,False,False
CMP-00839,USR-101,The CCTV camera near Transport Bay appears to be offline.,2026-01-31 16:06,Safety,Lighting,Transport Bay,Security Services,High,Large Group,Open,,Web,True,False
CMP-00054,USR-186,The lights in Main Building are flickering repeatedly.,2026-01-31 19:12,Electricity,Lighting,Main Building,Electrical Maintenance,Medium,Small Group,Investigating,,Mobile,False,False
CMP-00282,USR-052,The fan is not working in Computer Lab 2.,2026-01-31 21:43,Electricity,Fan,Computer Lab 2,Electrical Maintenance,Medium,Large Group,Open,,Web,True,False
CMP-00380,USR-250,Food served at Computer Lab 2 was cold today.,2026-02-01 12:30,Canteen,Queue,Computer Lab 2,Food Services,Medium,Multiple Users,Closed,,Web,False,False
CMP-00530,USR-213,The furniture in Block B - Hostel is broken and needs repair.,2026-02-01 12:31,Hostel,Room Maintenance,Block B - Hostel,Hostel Administration,Medium,Small Group,Open,,Web,True,False
CMP-00861,USR-230,The campus bus has not arrived at Canteen on time.,2026-02-01 18:04,Transport,Bus Condition,Canteen,Transport Services,Medium,Small Group,Resolved,,Mobile,True,False
CMP-00426,USR-157,The campus bus has not arrived at Block C - Hostel on time.,2026-02-01 19:55,Transport,Bus Availability,Block C - Hostel,Transport Services,Medium,Large Group,Resolved,,Web,True,True
CMP-00709,USR-101,The washroom in Seminar Hall has not been cleaned properly.,2026-02-02 09:20,Cleaning,Room Cleaning,Seminar Hall,Housekeeping,Medium,Large Group,Closed,,Mobile,True,True
CMP-00369,USR-222,The furniture in Canteen is broken and needs repair.,2026-02-02 10:33,Hostel,Laundry,Canteen,Hostel Administration,Medium,Individual,Resolved,,Web,True,False
CMP-00482,USR-157,The campus bus has not arrived at Campus Entrance on time.,2026-02-02 11:09,Transport,Bus Availability,Campus Entrance,Transport Services,Medium,Large Group,Investigating,,Web,False,False
CMP-00458,USR-220,The campus bus has not arrived at Block B - Hostel on time.,2026-02-02 16:04,Transport,Bus Condition,Block B - Hostel,Transport Services,Medium,Small Group,Resolved,,Web,True,True
CMP-00326,USR-082,Waste bins near ECE Block are overflowing.,2026-02-02 18:41,Cleaning,Washroom Cleaning,ECE Block,Housekeeping,Medium,Multiple Users,Resolved,,Web,True,False
CMP-00230,USR-183,Several systems in ECE Block cannot access the internet.,2026-02-02 19:49,Internet & Network,Network Availability,ECE Block,IT Services,High,Large Group,Closed,INC-005,Mobile,True,False
CMP-00852,USR-154,The pathway near Block B - Hostel is damaged and difficult to use.,2026-02-02 20:33,Infrastructure,Road,Block B - Hostel,Facilities & Maintenance,Medium,Individual,Resolved,,Mobile,False,True
CMP-00217,USR-005,Food served at Seminar Hall was cold today.,2026-02-03 17:54,Canteen,Payment,Seminar Hall,Food Services,Medium,Individual,Open,,Web,False,False
CMP-00275,USR-183,The campus bus has not arrived at Transport Bay on time.,2026-02-03 18:11,Transport,Bus Condition,Transport Bay,Transport Services,Medium,Multiple Users,Resolved,,Web,True,False
CMP-00253,USR-058,The washroom in ECE Block has not been cleaned properly.,2026-02-04 10:46,Cleaning,Waste Disposal,ECE Block,Housekeeping,Medium,Multiple Users,Investigating,,Mobile,False,False
CMP-00194,USR-113,The furniture in Block B - Hostel is broken and needs repair.,2026-02-04 12:00,Hostel,Laundry,Block B - Hostel,Hostel Administration,Medium,Large Group,Closed,,Web,True,True
CMP-00745,USR-249,The lights in Transport Bay are flickering repeatedly.,2026-02-04 12:55,Electricity,Socket,Transport Bay,Electrical Maintenance,Medium,Small Group,Resolved,INC-023,Web,False,True
CMP-00679,USR-126,Water is leaking near ECE Block and the floor remains wet.,2026-02-04 19:30,Water & Sanitation,Leakage,ECE Block,Facilities & Maintenance,Medium,Small Group,Open,,Web,True,False
CMP-00370,USR-080,Food served at Computer Lab 1 was cold today.,2026-02-04 19:34,Canteen,Hygiene,Computer Lab 1,Food Services,Medium,Large Group,Resolved,,Web,True,True
CMP-00040,USR-085,Food served at Block B - Hostel was cold today.,2026-02-05 10:14,Canteen,Payment,Block B - Hostel,Food Services,Medium,Small Group,Open,,Mobile,True,False
CMP-00834,USR-247,The door lock in Block B - Hostel is damaged.,2026-02-05 16:28,Hostel,Food,Block B - Hostel,Hostel Administration,High,Large Group,Resolved,,Web,True,True
CMP-00495,USR-221,The furniture in Parking Area is broken and needs repair.,2026-02-05 21:45,Hostel,Room Maintenance,Parking Area,Hostel Administration,Medium,Multiple Users,Resolved,,Web,True,False
CMP-00172,USR-161,The washroom in Transport Bay has not been cleaned properly.,2026-02-06 18:33,Cleaning,Washroom Cleaning,Transport Bay,Housekeeping,Medium,Multiple Users,Investigating,,Web,True,False
CMP-00237,USR-180,The campus bus has not arrived at Block A - Hostel on time.,2026-02-06 19:17,Transport,Driver,Block A - Hostel,Transport Services,Medium,Small Group,Closed,,Web,True,True
CMP-00082,USR-068,The furniture in Block B - Hostel is broken and needs repair.,2026-02-06 20:14,Hostel,Room Maintenance,Block B - Hostel,Hostel Administration,Medium,Individual,Closed,,Mobile,True,False
CMP-00782,USR-128,The pathway near Seminar Hall is damaged and difficult to use.,2026-02-07 13:42,Infrastructure,Furniture,Seminar Hall,Facilities & Maintenance,Medium,Small Group,Closed,,Web,True,False
CMP-00252,USR-151,There has been no water supply in Block A - Hostel since since yesterday.,2026-02-07 17:45,Water & Sanitation,Drainage,Block A - Hostel,Facilities & Maintenance,High,Multiple Users,Assigned,,Web,False,False
CMP-00460,USR-170,Waste bins near Block B - Hostel are overflowing.,2026-02-07 17:59,Cleaning,Washroom Cleaning,Block B - Hostel,Housekeeping,Medium,Large Group,Closed,,Web,False,True
CMP-00951,USR-011,The network keeps disconnecting in Campus Entrance.,2026-02-07 18:31,Internet & Network,LAN,Campus Entrance,IT Services,High,Large Group,Closed,INC-034,Web,False,False
CMP-00214,USR-116,The network keeps disconnecting in Main Building.,2026-02-07 19:20,Internet & Network,LAN,Main Building,IT Services,High,Multiple Users,Resolved,INC-027,Web,True,False
CMP-00969,USR-054,The Wi-Fi connection in Block B - Hostel becomes very slow during 6 PM–10 PM.,2026-02-07 21:16,Internet & Network,LAN,Block B - Hostel,IT Services,Medium,Multiple Users,Resolved,INC-016,Web,True,False
CMP-00448,USR-146,The network keeps disconnecting in Canteen.,2026-02-08 15:34,Internet & Network,Network Availability,Canteen,IT Services,High,Multiple Users,Investigating,,Web,True,False
CMP-00648,USR-151,The queue at Parking Area is unusually long during lunch.,2026-02-08 21:25,Canteen,Hygiene,Parking Area,Food Services,Low,Small Group,Resolved,,Mobile,True,False
CMP-00003,USR-217,Waste bins near CSE Block are overflowing.,2026-02-09 11:48,Cleaning,Waste Disposal,CSE Block,Housekeeping,Medium,Individual,Assigned,,Web,False,False
CMP-00314,USR-245,The network keeps disconnecting in Block A - Hostel.,2026-02-09 13:38,Internet & Network,Internet Speed,Block A - Hostel,IT Services,High,Large Group,Open,,Mobile,True,False
CMP-00344,USR-071,The projector in Block B - Hostel is not displaying properly.,2026-02-09 14:41,Classroom Equipment,Speaker,Block B - Hostel,Academic Infrastructure,Medium,Large Group,Resolved,,Web,False,False
