recommendation_id,incident_id,problem,recommendation,reason,evidence,risk_level,priority,expected_impact,suggested_timeline,responsible_department,recommended_action_type,status,created_at,based_on_previous_incident,supporting_complaint_count
REC-00030,INC-030,Guest Wi-Fi portal failures,Deploy automated SSL chain validator on all external web gateways,Credential resets failed; full certificate rebuild was necessary,11 guest authentication tickets,High,High,Provide seamless visitor Wi-Fi onboarding,Within 48 hours,IT Security,Configuration Change,Completed,2026-04-11,True,11
REC-00031,INC-031,Water fountain puddles,Replace all copper water lines with flex-braided stainless steel hoses,Tightening corroded fitting failed to eliminate leak,5 slip hazard reports,Medium,Medium,Prevent slip hazards and floor structure damage,Within 14 days,Plumbing Dept,Replacement,Approved,2026-04-13,True,5
REC-00032,INC-032,Hallway motion light premature shutoff,Install dual-technology (PIR + Ultrasonic) occupancy sensors,Adjusting sensor angles failed to detect stationary people,4 dark hallway complaints,Low,Medium,Improve occupancy lighting safety and energy efficiency,Within 30 days,Electrical Dept,Replacement,In Progress,2026-04-16,True,4
REC-00033,INC-033,Mobile application notification delays,Enforce JSON schema validation on all push API payload updates,Clearing gateway cache failed; push server payload format was wrong,13 push notification complaints,High,High,Ensure instant delivery of emergency push alerts,Within 24 hours,Software Development,Configuration Change,Completed,2026-04-19,True,13
REC-00034,INC-034,Exterior ground lighting failure,Replace subterranean power cables with conduit-encased armored wiring,Repeated fuse replacements failed due to underground wire short,8 dark walkway reports,High,High,Ensure continuous lighting on major pedestrian paths,Within 10 days,Electrical Dept,Infrastructure Upgrade,Approved,2026-04-22,True,8
REC-00035,INC-035,Pothole resurfacing failure,Excavate sub-base layer and re-bed aggregate before applying hot asphalt,Cold patch asphalt failed within 48 hours after rain,6 vehicle damage reports,High,High,Prevent vehicle tire damage and maintain road safety,Within 7 days,Civil Engineering,Repair,In Progress,2026-04-26,True,6
REC-00036,INC-001,Network latency monitoring,Deploy automated packet sniffer agents to monitor edge bandwidth,Hardware replacement resolved issue but proactive alerts are needed,Ensure edge performance metrics remain nominal,Medium,Low,Detect packet drops before users experience slow speeds,Within 30 days,Network Ops,Configuration Change,Suggested,2026-01-17,False,8
REC-00037,INC-005,Hostel Wi-Fi usage policy,Implement dynamic bandwidth throttling for high-volume video torrenting,High-density APs resolved congestion; bandwidth limits add protection,Prevent individual users from saturating shared bandwidth,Medium,Medium,Equitable distribution of network resources,Within 14 days,Network Ops,Configuration Change,Approved,2026-01-28,False,12
REC-00038,INC-008,Building roof inspections,Schedule bi-annual infrared roof moisture scanning across all campus roofs,Membrane repair resolved leak; proactive scan will identify weak spots,Catch roof membrane degradation before leaks occur indoor,High,Medium,Extend roof lifespan and protect interiors,Within 45 days,Facilities,Inspection,Suggested,2026-02-07,False,5
REC-00039,INC-010,Water pressure booster maintenance,Install digital pressure transducers connected to central facility dashboard,Impeller swap fixed pressure; real-time telemetry will spot pressure drops,Provide early warning for pump head degradation,High,High,Eliminate low pressure complaints across campus,Within 14 days,Plumbing Dept,Infrastructure Upgrade,In Progress,2026-02-12,False,11
REC-00040,INC-015,Database performance tuning,Implement automated slow query killer and index optimization routines,Connection pool scaling solved lag; query tuning prevents CPU spikes,Keep database CPU utilization consistently below 50%,High,High,Maintain sub-200ms application response times,Within 7 days,DBA Team,Configuration Change,Completed,2026-02-26,False,14
REC-00041,INC-019,Stormwater management plan,Construct retention basin near Parking Lot B to manage heavy rainfall,Culvert enlargement fixed current overflow; basin handles extreme storms,Prevent stormwater runoff from exceeding drainage capacity,High,High,Mitigate campus flood risk during heavy storms,Within 90 days,Civil Engineering,Infrastructure Upgrade,Dismissed,2026-03-12,False,9
REC-00042,INC-022,Network cabling standardization,Audit and upgrade all Cat5 cabling across academic buildings to Cat6a,Damaged cable caused packet loss; systematic audit reduces risk,Ensure high-speed wired infrastructure across campus,Medium,Medium,Prevent cabling-related network outages,Within 60 days,Network Ops,Inspection,Suggested,2026-03-20,False,8
REC-00043,INC-025,Cafeteria grease trap compliance,Install automated grease level sensors in cafeteria interceptors,Snaking cleared grease line; telemetry will alert when trap is 80% full,Prevent kitchen grease from reaching main plumbing lines,High,High,Eliminate grease-induced plumbing line blockages,Within 14 days,Plumbing Dept,Infrastructure Upgrade,Approved,2026-03-29,False,7
REC-00044,INC-030,SSL certificate monitoring system,Integrate automated SSL certificate renewal with Let's Encrypt bot,Certificate rebuild fixed portal; automated bot prevents expiration,Zero manual certificate renewal failures,High,High,Ensure 100% uptime for authentication portals,Within 7 days,IT Security,Configuration Change,Completed,2026-04-12,False,11
REC-00045,INC-034,Subterranean wiring audit,Conduct megohmmeter insulation resistance testing on all exterior circuits,Cable replacement fixed short; testing will identify aging wiring,Detect electrical wire insulation degradation early,High,High,Prevent campus walkway light blackouts,Within 30 days,Electrical Dept,Inspection,In Progress,2026-04-23,False,8
