insight_id,incident_id,insight_type,description,evidence,confidence,severity,detected_at,recommended_action,status
INS-00032,INC-032,Location Pattern,"West Hall motion sensor lights shutting off while occupants are seated at desks",4 dark hallway complaints logged in study alcoves,0.89,Low,"Replace infrared motion sensor with dual PIR/Ultrasound unit",Active
INS-00033,INC-033,Escalation Risk,"Mobile application emergency push notifications delaying delivery by over 2 hours",13 push alert complaints logged following emergency test,0.96,Critical,"Patch FCM notification handler payload format",Active
INS-00034,INC-034,Recurring Pattern,"North Campus walkway lighting grid blowing fuses repeatedly after rainfall",8 walkway dark spot reports logged across rainy weeks,0.94,High,"Replace shorted subterranean power wiring section",Active
INS-00035,INC-035,Recurring Pattern,"Main Drive road asphalt patch caving in repeatedly under vehicle weight",6 complaints logged following asphalt patch degradation,0.91,High,"Excavate sub-base layer and pour heavy-duty asphalt patch",Active
INS-00036,INC-001,Escalation Risk,"Network throttling on edge router causing cascade latency across connected switches",6 related network speed complaints logged,0.90,High,"Re-balance bandwidth allocation parameters",Resolved
INS-00037,INC-005,Time Pattern,"Wi-Fi channel congestion on 2.4GHz band peaking during residence hours",9 complaints logged during evening hours,0.88,Medium,"Re-tune Wi-Fi channel spectrum mapping to 5GHz priority",Resolved
INS-00038,INC-008,Potential Root Cause,"Attic space moisture accumulation accelerating roof seam degradation",3 secondary ceiling wet spot reports,0.87,Medium,"Inspect attic space for secondary leaks and seal insulation",Resolved
INS-00039,INC-010,Location Pattern,"Booster pump vibration causing pressure loss across secondary water pipes",7 upper floor complaints,0.89,High,"Inspect booster pump vibration isolators",Resolved
INS-00040,INC-015,Time Pattern,"Database CPU utilization reaching 95% during daily 12 PM analytics sync",10 application latency complaints,0.93,High,"Reschedule DB analytics sync job to 2:00 AM",Resolved
INS-00041,INC-019,Emerging Problem,"Debris accumulation blocking drainage outflow channel near Parking Lot B",5 parking lot water pooling complaints,0.91,Medium,"Clear outflow channel and install debris screen",Resolved
INS-00042,INC-022,Complaint Cluster,"Floor 2 engineering lab packet drops affecting all desktop nodes simultaneously",6 lab workstation complaints,0.92,High,"Verify throughput on secondary switch node",Resolved
INS-00043,INC-028,Location Pattern,"HVAC condensate drip pan overflow causing localized wall humidity",4 humidity complaints in East Wing,0.89,Medium,"Calibrate ambient room humidity telemetry sensors",Resolved
INS-00044,INC-034,Potential Root Cause,"Subterranean junction box seal failure allowing water ingress to wiring",5 walkway lighting complaints,0.93,High,"Inspect junction box insulation resistance and replace seal",Resolved
INS-00045,INC-003,Recurring Pattern,"Pressure transducer readings fluctuating in primary drainage line",4 basement water backup complaints,0.90,High,"Verify main line flow rate with digital pressure transducer",Resolved
INS-00046,INC-007,Escalation Risk,"Elevator car safety drop sensor triggering minor emergency brake holds",3 elevator door complaints,0.94,Critical,"Conduct full safety load test on elevator car mechanism",Resolved
INS-00047,INC-016,Location Pattern,"Indoor air quality mold spore count elevated near HVAC intake vent",5 air quality complaints in South Hall,0.92,High,"Conduct comprehensive indoor air quality testing",Resolved
INS-00048,INC-025,Potential Root Cause,"Main sewer junction pipe grease build-up narrowing inner diameter by 50%",4 kitchen drain complaints,0.91,High,"Camera inspection of main sewer junction pipe",Resolved
INS-00049,INC-005,Emerging Problem,"Student mobile devices failing 5GHz handoff near Block A hostel entrance",5 hostel Wi-Fi complaints,0.87,Medium,"Adjust AP signal coverage overlap and power levels",Active
INS-00050,INC-015,Time Pattern,"API endpoint connection timeout errors spiking during student registration window",12 portal latency complaints,0.95,Critical,"Deploy API gateway rate limiting and edge caching",Active
