feedback_id,complaint_id,user_id,incident_id,submitted_at,resolution_id,verification_status,problem_resolved,satisfaction_score,feedback_text,remaining_issue,reopen_requested,evidence_provided,follow_up_required
FBK-00029,CMP-00017,USR-017,INC-016,2026-02-26 12:00:00,RES-00028,Not Verified,No,2,"Classroom still smells like damp mold.",Bad odor,Yes,True,True
FBK-00030,CMP-00017,USR-017,INC-016,2026-02-28 16:00:00,RES-00029,Verified,Yes,5,"Air smells fresh and clean today.",None,No,False,False
FBK-00031,CMP-00018,USR-018,INC-017,2026-03-02 10:30:00,RES-00030,Not Verified,No,1,"Freezer temperature alert still ringing.",Temp warm,Yes,True,True
FBK-00032,CMP-00018,USR-018,INC-017,2026-03-02 16:30:00,RES-00031,Verified,Yes,5,"Freezer holding steady at negative 5 degrees.",None,No,False,False
FBK-00033,CMP-00019,USR-019,INC-018,2026-03-05 13:00:00,RES-00032,Verified,Yes,4,"Kiosk keyboard working without sticky keys.",None,No,False,False
FBK-00034,CMP-00020,USR-020,INC-019,2026-03-08 12:00:00,RES-00033,Not Verified,No,1,"Parking lot flooded after light rain.",Puddle on parking lot,Yes,True,True
FBK-00035,CMP-00020,USR-020,INC-019,2026-03-10 18:00:00,RES-00034,Verified,Yes,5,"Water drained completely despite downpour.",None,No,False,False
FBK-00036,CMP-00021,USR-021,INC-020,2026-03-12 22:30:00,RES-00035,Verified,Yes,5,"Quiet night. Patrol guard present.",None,No,False,False
FBK-00037,CMP-00022,USR-022,INC-021,2026-03-15 11:00:00,RES-00036,Verified,Yes,4,"Hallway light replaced. Bright now.",None,No,False,False
FBK-00038,CMP-00023,USR-023,INC-022,2026-03-18 12:00:00,RES-00037,Not Verified,No,2,"Lab network still dropping packets.",Network loss,Yes,True,True
FBK-00039,CMP-00023,USR-023,INC-022,2026-03-18 17:00:00,RES-00038,Verified,Yes,5,"Gigabit connection stable. Tested download.",None,No,False,False
FBK-00040,CMP-00024,USR-024,INC-023,2026-03-21 13:00:00,RES-00039,Not Verified,No,1,"Loud fan squeal returned after lunch.",High pitch noise,Yes,True,True
FBK-00041,CMP-00024,USR-024,INC-023,2026-03-21 18:00:00,RES-00040,Verified,Yes,5,"Ventilation fan running quiet now.",None,No,False,False
FBK-00042,CMP-00025,USR-025,INC-024,2026-03-24 11:00:00,RES-00041,Verified,Yes,4,"Badge scanned instantly. Door unlocked.",None,No,False,False
FBK-00043,CMP-00026,USR-026,INC-025,2026-03-27 12:00:00,RES-00042,Not Verified,No,1,"Kitchen sink filled with standing water again.",Sink clogged,Yes,True,True
FBK-00044,CMP-00026,USR-026,INC-025,2026-03-27 16:00:00,RES-00043,Verified,Yes,5,"Sink drains fast now. Great work.",None,No,False,False
FBK-00045,CMP-00027,USR-027,INC-026,2026-03-30 13:00:00,RES-00044,Not Verified,No,2,"Printer queue still frozen.",Print jobs stuck,Yes,True,True
FBK-00046,CMP-00027,USR-027,INC-026,2026-03-30 17:00:00,RES-00045,Verified,Yes,5,"Printed 50 page document without error.",None,No,False,False
FBK-00047,CMP-00028,USR-028,INC-027,2026-04-02 10:00:00,RES-00046,Disputed,No,2,"Door still slams hard and rattles wall.",Violent slam,Yes,True,True
FBK-00048,CMP-00028,USR-028,INC-027,2026-04-02 14:00:00,RES-00047,Verified,Yes,4,"Door closes quietly now.",None,No,False,False
FBK-00049,CMP-00029,USR-029,INC-028,2026-04-05 16:00:00,RES-00048,Not Verified,No,2,"Office feels sticky and humid.",High humidity,Yes,True,True
FBK-00050,CMP-00029,USR-029,INC-028,2026-04-06 12:00:00,RES-00049,Verified,Yes,5,"Humidity dropped to normal level. Comfortable.",None,No,False,False
FBK-00051,CMP-00030,USR-030,INC-029,2026-04-08 13:00:00,RES-00050,Verified,Yes,4,"Lab outlets working cleanly.",None,No,False,False
FBK-00052,CMP-00031,USR-031,INC-030,2026-04-10 11:00:00,RES-00051,Not Verified,No,1,"Guest Wi-Fi portal keeps refreshing.",Login loop,Yes,True,True
FBK-00053,CMP-00031,USR-031,INC-030,2026-04-10 16:00:00,RES-00052,Verified,Yes,5,"Logged in effortlessly as guest.",None,No,False,False
FBK-00054,CMP-00032,USR-032,INC-031,2026-04-12 12:00:00,RES-00053,Not Verified,No,2,"Puddle under fountain is growing.",Water drip,Yes,True,True
FBK-00055,CMP-00032,USR-032,INC-031,2026-04-12 17:00:00,RES-00054,Verified,Yes,5,"Water fountain dry on floor.",None,No,False,False
FBK-00056,CMP-00033,USR-033,INC-032,2026-04-15 15:00:00,RES-00055,Not Verified,No,2,"Lights went dark while I was sitting at desk.",Motion sensor timeout,Yes,True,True
FBK-00057,CMP-00033,USR-033,INC-032,2026-04-15 18:30:00,RES-00056,Verified,Yes,4,"Lights remain on continuously when occupied.",None,No,False,False
FBK-00058,CMP-00034,USR-034,INC-033,2026-04-18 12:00:00,RES-00057,Not Verified,No,1,"Notification arrived 3 hours late.",Push delay,Yes,True,True
FBK-00059,CMP-00034,USR-034,INC-033,2026-04-18 18:00:00,RES-00058,Verified,Yes,5,"Push notification arrived instantly upon alert.",None,No,False,False
FBK-00060,CMP-00035,USR-035,INC-034,2026-04-20 13:00:00,RES-00059,Not Verified,No,1,"Path lights went dark again tonight.",Short circuit,Yes,True,True
FBK-00061,CMP-00035,USR-035,INC-034,2026-04-21 17:00:00,RES-00060,Verified,Yes,5,"All walkway lights bright and steady.",None,No,False,False
FBK-00062,CMP-00036,USR-036,INC-035,2026-04-23 11:00:00,RES-00061,Disputed,No,1,"Asphalt patch sank when my car drove over it.",Pothole caved in,Yes,True,True
FBK-00063,CMP-00036,USR-036,INC-035,2026-04-25 16:00:00,RES-00062,Verified,Yes,5,"Road pavement flat and smooth.",None,No,False,False
FBK-00064,CMP-00037,USR-037,INC-001,2026-01-16 11:30:00,RES-00063,Verified,Yes,4,"Internet speed stable all morning.",None,No,False,False
FBK-00065,CMP-00038,USR-038,INC-005,2026-01-27 13:00:00,RES-00064,Verified,Yes,5,"No Wi-Fi lag during online class.",None,No,False,False
FBK-00066,CMP-00039,USR-039,INC-008,2026-02-06 12:00:00,RES-00065,Verified,Yes,5,"Ceiling tiles fully dry.",None,No,False,False
FBK-00067,CMP-00040,USR-040,INC-010,2026-02-11 11:00:00,RES-00066,Verified,Yes,4,"Water pressure is great on 4th floor.",None,No,False,False
FBK-00068,CMP-00041,USR-041,INC-015,2026-02-25 15:00:00,RES-00067,Verified,Yes,5,"Portal responded in under a second.",None,No,False,False
FBK-00069,CMP-00042,USR-042,INC-019,2026-03-11 13:00:00,RES-00068,Verified,Yes,4,"Parking lot drain clear.",None,No,False,False
FBK-00070,CMP-00043,USR-043,INC-022,2026-03-19 11:00:00,RES-00069,Verified,Yes,5,"Network download test hit max speed.",None,No,False,False
FBK-00071,CMP-00044,USR-044,INC-028,2026-04-07 13:00:00,RES-00070,Verified,Yes,4,"Office temperature and humidity feel great.",None,No,False,False
FBK-00072,CMP-00045,USR-045,INC-034,2026-04-22 12:00:00,RES-00071,Verified,Yes,5,"Exterior path lights working consistently.",None,No,False,False
FBK-00073,CMP-00046,USR-046,INC-003,2026-01-21 13:00:00,RES-00072,Verified,Yes,5,"Plumbing flowing without delay.",None,No,False,False
FBK-00074,CMP-00047,USR-047,INC-007,2026-02-02 12:00:00,RES-00073,Verified,Yes,4,"Elevator ride smooth.",None,No,False,False
FBK-00075,CMP-00048,USR-048,INC-016,2026-03-01 12:00:00,RES-00074,Verified,Yes,5,"Indoor air clean and odorless.",None,No,False,False
FBK-00076,CMP-00049,USR-049,INC-025,2026-03-28 11:00:00,RES-00075,Verified,Yes,5,"Cafeteria sink draining perfectly.",None,No,False,False
FBK-00077,CMP-00050,USR-050,INC-001,2026-01-15 18:00:00,RES-00002,Verified,Yes,5,"Connection back online in room 102.",None,No,False,False
FBK-00078,CMP-00051,USR-001,INC-002,2026-01-18 16:00:00,RES-00004,Verified,Yes,4,"Portal access fully operational.",None,No,False,False
FBK-00079,CMP-00052,USR-002,INC-003,2026-01-20 19:00:00,RES-00006,Verified,Yes,5,"Basement floor dried and clean.",None,No,False,False
FBK-00080,CMP-00053,USR-003,INC-004,2026-01-22 18:00:00,RES-00008,Verified,Yes,4,"AC unit blowing cold air.",None,No,False,False
FBK-00081,CMP-00054,USR-004,INC-005,2026-01-26 14:00:00,RES-00010,Verified,Yes,5,"Wi-Fi signal strong throughout hostel.",None,No,False,False
FBK-00082,CMP-00055,USR-005,INC-006,2026-01-29 14:00:00,RES-00012,Verified,Yes,4,"Trash removed.",None,No,False,False
FBK-00083,CMP-00056,USR-006,INC-007,2026-02-01 20:00:00,RES-00014,Verified,Yes,5,"Elevator door opens cleanly.",None,No,False,False
FBK-00084,CMP-00057,USR-007,INC-008,2026-02-05 16:00:00,RES-00016,Verified,Yes,4,"Ceiling leak fixed completely.",None,No,False,False
FBK-00085,CMP-00058,USR-008,INC-009,2026-02-08 13:00:00,RES-00017,Verified,Yes,5,"Gate RFID badging resolved.",None,No,False,False
FBK-00086,CMP-00059,USR-009,INC-010,2026-02-10 18:00:00,RES-00019,Verified,Yes,5,"High water pressure on 3rd floor.",None,No,False,False
FBK-00087,CMP-00060,USR-010,INC-011,2026-02-12 14:00:00,RES-00020,Verified,Yes,4,"SSO authentication works.",None,No,False,False
FBK-00088,CMP-00061,USR-011,INC-012,2026-02-15 19:00:00,RES-00022,Verified,Yes,5,"Radiator leak stopped.",None,No,False,False
FBK-00089,CMP-00062,USR-012,INC-013,2026-02-19 14:00:00,RES-00024,Verified,Yes,4,"Street lights working.",None,No,False,False
FBK-00090,CMP-00063,USR-013,INC-014,2026-02-21 17:00:00,RES-00025,Verified,Yes,5,"Emergency door latch functional.",None,No,False,False
FBK-00091,CMP-00064,USR-014,INC-015,2026-02-24 19:00:00,RES-00027,Verified,Yes,5,"Database latency normal.",None,No,False,False
FBK-00092,CMP-00065,USR-015,INC-016,2026-02-28 18:00:00,RES-00029,Verified,Yes,4,"Air ventilation clear.",None,No,False,False
FBK-00093,CMP-00066,USR-016,INC-017,2026-03-02 18:00:00,RES-00031,Verified,Yes,5,"Freezer cold.",None,No,False,False
FBK-00094,CMP-00067,USR-017,INC-018,2026-03-05 15:00:00,RES-00032,Verified,Yes,4,"Kiosk keyboard responsive.",None,No,False,False
FBK-00095,CMP-00068,USR-018,INC-019,2026-03-10 19:00:00,RES-00034,Verified,Yes,5,"Drainage culvert working.",None,No,False,False
FBK-00096,CMP-00069,USR-019,INC-020,2026-03-12 23:00:00,RES-00035,Verified,Yes,4,"Noise levels quiet.",None,No,False,False
FBK-00097,CMP-00070,USR-020,INC-021,2026-03-15 13:00:00,RES-00036,Verified,Yes,5,"Overhead light bright.",None,No,False,False
FBK-00098,CMP-00071,USR-021,INC-022,2026-03-18 18:00:00,RES-00038,Verified,Yes,5,"Ethernet connection fixed.",None,No,False,False
FBK-00099,CMP-00072,USR-022,INC-023,2026-03-21 19:00:00,RES-00040,Verified,Yes,4,"Fan motor noise gone.",None,No,False,False
FBK-00100,CMP-00073,USR-023,INC-024,2026-03-24 13:00:00,RES-00041,Verified,Yes,5,"Door lock functioning.",None,No,False,False
FBK-00101,CMP-00074,USR-024,INC-025,2026-03-27 17:00:00,RES-00043,Verified,Yes,5,"Grease blockage cleared.",None,No,False,False
FBK-00102,CMP-00075,USR-025,INC-026,2026-03-30 18:00:00,RES-00045,Verified,Yes,4,"Printer back online.",None,No,False,False
FBK-00103,CMP-00076,USR-026,INC-027,2026-04-02 15:00:00,RES-00047,Verified,Yes,5,"Door hydraulic closer smooth.",None,No,False,False
FBK-00104,CMP-00077,USR-027,INC-028,2026-04-06 14:00:00,RES-00049,Verified,Yes,4,"Dehumidifier working.",None,No,False,False
FBK-00105,CMP-00078,USR-028,INC-029,2026-04-08 14:00:00,RES-00050,Verified,Yes,5,"Physics lab power online.",None,No,False,False
FBK-00106,CMP-00079,USR-029,INC-030,2026-04-10 17:00:00,RES-00052,Verified,Yes,5,"Guest SSL page resolved.",None,No,False,False
FBK-00107,CMP-00080,USR-030,INC-031,2026-04-12 18:00:00,RES-00054,Verified,Yes,4,"Fountain pipe sealed.",None,No,False,False
FBK-00108,CMP-00081,USR-031,INC-032,2026-04-15 19:00:00,RES-00056,Verified,Yes,5,"Motion sensor active.",None,No,False,False
FBK-00109,CMP-00082,USR-032,INC-033,2026-04-18 19:00:00,RES-00058,Verified,Yes,5,"App push notifications working.",None,No,False,False
FBK-00110,CMP-00083,USR-033,INC-034,2026-04-21 18:00:00,RES-00060,Verified,Yes,4,"Subterranean wiring fixed.",None,No,False,False
FBK-00111,CMP-00084,USR-034,INC-035,2026-04-25 17:00:00,RES-00062,Verified,Yes,5,"Pothole fully repaired.",None,No,False,False
FBK-00112,CMP-00085,USR-035,INC-001,2026-01-16 13:00:00,RES-00063,Verified,Yes,4,"Speed verified.",None,No,False,False
FBK-00113,CMP-00086,USR-036,INC-005,2026-01-27 15:00:00,RES-00064,Verified,Yes,5,"Hostel Wi-Fi strong.",None,No,False,False
FBK-00114,CMP-00087,USR-037,INC-008,2026-02-06 14:00:00,RES-00065,Verified,Yes,5,"Lab ceiling dry.",None,No,False,False
FBK-00115,CMP-00088,USR-038,INC-010,2026-02-11 14:00:00,RES-00066,Verified,Yes,4,"Water pressure high.",None,No,False,False
FBK-00116,CMP-00089,USR-039,INC-015,2026-02-25 16:00:00,RES-00067,Verified,Yes,5,"Database fast.",None,No,False,False
FBK-00117,CMP-00090,USR-040,INC-019,2026-03-11 15:00:00,RES-00068,Verified,Yes,4,"Lot B drainage good.",None,No,False,False
FBK-00118,CMP-00091,USR-041,INC-022,2026-03-19 14:00:00,RES-00069,Verified,Yes,5,"Ethernet fast.",None,No,False,False
FBK-00119,CMP-00092,USR-042,INC-028,2026-04-07 14:00:00,RES-00070,Verified,Yes,4,"Humidity low.",None,No,False,False
FBK-00120,CMP-00093,USR-043,INC-034,2026-04-22 14:00:00,RES-00071,Verified,Yes,5,"Walkway lights bright.",None,No,False,False
FBK-00121,CMP-00094,USR-044,INC-003,2026-01-21 14:00:00,RES-00072,Verified,Yes,5,"Plumbing good.",None,No,False,False
FBK-00122,CMP-00095,USR-045,INC-007,2026-02-02 14:00:00,RES-00073,Verified,Yes,4,"Elevator smooth.",None,No,False,False
FBK-00123,CMP-00096,USR-046,INC-016,2026-03-01 14:00:00,RES-00074,Verified,Yes,5,"Air quality clean.",None,No,False,False
FBK-00124,CMP-00097,USR-047,INC-025,2026-03-28 13:00:00,RES-00075,Verified,Yes,5,"Kitchen sink clean.",None,No,False,False
FBK-00125,CMP-00098,USR-048,INC-001,2026-01-15 19:00:00,RES-00002,Verified,Yes,5,"Speed restored.",None,No,False,False
FBK-00126,CMP-00099,USR-049,INC-002,2026-01-18 17:00:00,RES-00004,Verified,Yes,4,"Portal online.",None,No,False,False
FBK-00127,CMP-00100,USR-050,INC-003,2026-01-20 20:00:00,RES-00006,Verified,Yes,5,"Basement dry.",None,No,False,False
FBK-00128,CMP-00101,USR-001,INC-004,2026-01-22 19:00:00,RES-00008,Verified,Yes,4,"AC cool.",None,No,False,False
FBK-00129,CMP-00102,USR-002,INC-005,2026-01-26 16:00:00,RES-00010,Verified,Yes,5,"Wi-Fi good.",None,No,False,False
FBK-00130,CMP-00103,USR-003,INC-006,2026-01-29 16:00:00,RES-00012,Verified,Yes,4,"Dumpster clear.",None,No,False,False
FBK-00131,CMP-00104,USR-004,INC-007,2026-02-01 21:00:00,RES-00014,Verified,Yes,5,"Elevator working.",None,No,False,False
FBK-00132,CMP-00105,USR-005,INC-008,2026-02-05 18:00:00,RES-00016,Verified,Yes,4,"Roof dry.",None,No,False,False
FBK-00133,CMP-00106,USR-006,INC-009,2026-02-08 15:00:00,RES-00017,Verified,Yes,5,"Gate works.",None,No,False,False
FBK-00134,CMP-00107,USR-007,INC-010,2026-02-10 19:00:00,RES-00019,Verified,Yes,5,"Water pressure good.",None,No,False,False
FBK-00135,CMP-00108,USR-008,INC-011,2026-02-12 16:00:00,RES-00020,Verified,Yes,4,"SSO fine.",None,No,False,False
FBK-00136,CMP-00109,USR-009,INC-012,2026-02-15 20:00:00,RES-00022,Verified,Yes,5,"Radiator fine.",None,No,False,False
FBK-00137,CMP-00110,USR-010,INC-013,2026-02-19 16:00:00,RES-00024,Verified,Yes,4,"Lights fine.",None,No,False,False
FBK-00138,CMP-00111,USR-011,INC-014,2026-02-21 18:00:00,RES-00025,Verified,Yes,5,"Door locked.",None,No,False,False
FBK-00139,CMP-00112,USR-012,INC-015,2026-02-24 20:00:00,RES-00027,Verified,Yes,5,"DB latency fast.",None,No,False,False
FBK-00140,CMP-00113,USR-013,INC-016,2026-02-28 19:00:00,RES-00029,Verified,Yes,4,"Air fresh.",None,No,False,False
FBK-00141,CMP-00114,USR-014,INC-017,2026-03-02 19:00:00,RES-00031,Verified,Yes,5,"Freezer cold.",None,No,False,False
FBK-00142,CMP-00115,USR-015,INC-018,2026-03-05 17:00:00,RES-00032,Verified,Yes,4,"Keyboard fixed.",None,No,False,False
FBK-00143,CMP-00116,USR-016,INC-019,2026-03-10 20:00:00,RES-00034,Verified,Yes,5,"Drainage fixed.",None,No,False,False
FBK-00144,CMP-00117,USR-017,INC-020,2026-03-13 01:00:00,RES-00035,Verified,Yes,4,"Quiet night.",None,No,False,False
FBK-00145,CMP-00118,USR-018,INC-021,2026-03-15 15:00:00,RES-00036,Verified,Yes,5,"Light fixed.",None,No,False,False
FBK-00146,CMP-00119,USR-019,INC-022,2026-03-18 19:00:00,RES-00038,Verified,Yes,5,"Ethernet fine.",None,No,False,False
FBK-00147,CMP-00120,USR-020,INC-023,2026-03-21 20:00:00,RES-00040,Verified,Yes,4,"Fan quiet.",None,No,False,False
FBK-00148,CMP-00121,USR-021,INC-024,2026-03-24 15:00:00,RES-00041,Verified,Yes,5,"Door fine.",None,No,False,False
FBK-00149,CMP-00122,USR-022,INC-025,2026-03-27 18:00:00,RES-00043,Verified,Yes,5,"Grease clear.",None,No,False,False
FBK-00150,CMP-00123,USR-023,INC-026,2026-03-30 19:00:00,RES-00045,Verified,Yes,4,"Printer fine.",None,No,False,False
FBK-00151,CMP-00124,USR-024,INC-027,2026-04-02 16:00:00,RES-00047,Verified,Yes,5,"Door quiet.",None,No,False,False
FBK-00152,CMP-00125,USR-025,INC-028,2026-04-06 16:00:00,RES-00049,Verified,Yes,4,"Humidity fine.",None,No,False,False
FBK-00153,CMP-00126,USR-026,INC-029,2026-04-08 16:00:00,RES-00050,Verified,Yes,5,"Power fine.",None,No,False,False
FBK-00154,CMP-00127,USR-027,INC-030,2026-04-10 18:00:00,RES-00052,Verified,Yes,5,"Portal fine.",None,No,False,False
FBK-00155,CMP-00128,USR-028,INC-031,2026-04-12 19:00:00,RES-00054,Verified,Yes,4,"Fountain fine.",None,No,False,False
FBK-00156,CMP-00129,USR-029,INC-032,2026-04-15 20:00:00,RES-00056,Verified,Yes,5,"Sensor fine.",None,No,False,False
FBK-00157,CMP-00130,USR-030,INC-033,2026-04-18 20:00:00,RES-00058,Verified,Yes,5,"Push alert fine.",None,No,False,False
FBK-00158,CMP-00131,USR-031,INC-034,2026-04-21 19:00:00,RES-00060,Verified,Yes,4,"Light fine.",None,No,False,False
FBK-00159,CMP-00132,USR-032,INC-035,2026-04-25 18:00:00,RES-00062,Verified,Yes,5,"Pothole fine.",None,No,False,False
FBK-00160,CMP-00133,USR-033,INC-001,2026-01-16 15:00:00,RES-00063,Verified,Yes,5,"Speed excellent.",None,No,False,False
